20at7147,4
29at7147,2R
51at7147,3L
80at7147,3R
94at7147,3R
158at7147,3L
161at7147,2L
169at7147,3L
178at7147,3L
208at7147,2R
287at7147,X
296at7147,2L
300at7147,3R
304at7147,X
328at7147,2L
329at7147,2R
376at7147,3R
377at7147,2L
396at7147,2R
423at7147,3L
432at7147,X
459at7147,3R
466at7147,2L
491at7147,3R
508at7147,2R
509at7147,2R
516at7147,3R
556at7147,2L
566at7147,2L
591at7147,X
595at7147,3R
597at7147,3L
608at7147,3L
610at7147,3R
612at7147,2R
626at7147,3R
648at7147,X
698at7147,3L
729at7147,3L
745at7147,X
762at7147,2R
765at7147,2R
784at7147,2L
811at7147,2R
814at7147,X
824at7147,X
839at7147,3R
860at7147,3L
869at7147,3R
889at7147,3L
898at7147,X
920at7147,3L
967at7147,3R
969at7147,X
976at7147,3R
977at7147,2L
981at7147,3R
1009at7147,4
1015at7147,3R
1017at7147,2L
1064at7147,2R
1082at7147,2L
1099at7147,2R
1122at7147,2R
1142at7147,X
1152at7147,3L
1190at7147,3R
1204at7147,3R
1216at7147,3R
1224at7147,3R
1246at7147,2L
1270at7147,3R
1273at7147,3R
1288at7147,2R
1297at7147,2R
1314at7147,3R
1378at7147,X
1388at7147,2R
1424at7147,3R
1448at7147,2L
1460at7147,3L
1492at7147,2L
1519at7147,3R
1524at7147,3R
1539at7147,X
1545at7147,3L
1553at7147,3L
1616at7147,2R
1629at7147,2L
1636at7147,2L
1674at7147,3L
1712at7147,X
1727at7147,2L
1738at7147,3R
1739at7147,2L
1759at7147,3L
1786at7147,X
1789at7147,3R
1846at7147,3L
1858at7147,2L
1898at7147,X
1926at7147,2R
1957at7147,X
1962at7147,2L
1967at7147,X
1975at7147,X
2004at7147,2L
2027at7147,3L
2048at7147,2L
2092at7147,X
2104at7147,2L
2109at7147,2L
2118at7147,3R
2164at7147,X
2199at7147,3R
2200at7147,X
2213at7147,3R
2232at7147,X
2233at7147,2L
2249at7147,2R
2257at7147,X
2273at7147,2L
2274at7147,3L
2293at7147,2R
2302at7147,2R
2306at7147,3L
2315at7147,3L
2334at7147,2R
2361at7147,3R
2377at7147,2L
2383at7147,3L
2390at7147,2R
2407at7147,3L
2421at7147,3R
2437at7147,2L
2459at7147,2R
2483at7147,2L
2497at7147,2R
2501at7147,2L
2540at7147,2R
2590at7147,3R
2598at7147,3R
2625at7147,3R
2656at7147,X
2661at7147,2L
2687at7147,X
2714at7147,3R
2750at7147,3L
2752at7147,X
2768at7147,3L
2780at7147,3L
2789at7147,3R
2817at7147,3L
2831at7147,3R
2841at7147,2L
2843at7147,3L
2889at7147,2L
2891at7147,3R
2918at7147,2R
2948at7147,X
2953at7147,3R
2987at7147,3R
3013at7147,2L
3067at7147,2L
3077at7147,2L
3078at7147,2R
3095at7147,3R
3096at7147,3R
3107at7147,2R
3153at7147,3R
3183at7147,X
3196at7147,3R
3208at7147,2R
3236at7147,2R
3250at7147,2L
3264at7147,3R
3275at7147,2R
3283at7147,3L
3371at7147,X
3394at7147,3R
3420at7147,2R
3422at7147,X
3429at7147,2L
3440at7147,3R
