species,strain,num_callable_lr,snp_het_lr,snp_hom_lr,indel_het_lr,indel_hom_lr,num_callable_sr,snp_het_sr,snp_hom_sr,indel_het_sr,indel_hom_sr
Lordiphosa collinella,UCKTSapporo052019LC,145163177,372709,16201,11626,21603,208039354,3753059,18675,189942,3276
Lordiphosa magnipectinata,UCKTSapporo052019LM,123696138,281963,35867,5873,5860,240338902,5000414,12980,285863,3317
Lordiphosa mommai,MMSapporo052014LM,115764806,269638,9227,6736,8900,188924936,2692687,21674,184160,4373
Lordiphosa stackelbergi,UCILTSSapporo052019LS,84193400,174601,8465,3729,4226,137424008,2697500,16766,118428,2452
Scaptomyza graminum,TMU-2019,88848478,177431,25774,6889,7478,91904912,726356,7116,94119,1460
Scaptomyza hsui,iso-CA-L1,109130993,672026,5169,39319,3944,118309311,1553560,7387,146938,3207
Scaptomyza montana,iso-CA-L1,118107052,465482,4959,27068,5738,125401552,1125542,4675,92109,1926
Scaptomyza pallida,iso-CA-L1,106055029,755882,5259,59042,10793,115965931,1138642,10091,104990,2946
Zaprionus africanus,BS06,90401765,529036,55235,41444,7305,104216058,1045427,15321,64605,1417
Zaprionus camerounensis,jd01cam,90486896,71571,908,6551,701,87305206,195894,2158,21330,612
Zaprionus capensis,jd01cap,107462053,105135,1358,11075,772,114854841,180286,1074,14208,222
Zaprionus davidi,jd01d,87806857,122836,744,10660,393,122259677,377748,1660,34118,486
Zaprionus gabonicus,jd01gab,107114762,37911,1138,3502,396,122437520,91349,1789,8585,235
Zaprionus ghesquierei,jd01ghe,92836101,449442,25991,28606,3621,135521186,1405713,13636,146938,3825
Zaprionus indianus (CDD18),CDD18,87703464,931452,258515,56991,21048,103183283,1628133,30682,131136,2724
Zaprionus indianus (BS02),BS02,95589080,628737,2870,50818,35210,NA,NA,NA,NA,NA
Zaprionus indianus (RCR04),RCR04,95142712,335320,1516,27192,966,127680444,774760,5517,58260,1352
Zaprionus indianus (16GNV01),16GNV01,25838755,123148,608,1938,111,119626820,1447919,18095,128167,4039
Zaprionus inermis,18BSZ10,93496234,180028,2239,15200,1083,99894620,222611,1907,24786,568
Zaprionus kolodkinae,jd01k,106212875,257343,1472,36235,1042,115460723,380379,5557,39309,850
Zaprionus lachaisei,jd01l,96087094,1859,679,197,355,NA,NA,NA,NA,NA
Zaprionus nigranus,st01n,24296907,1173,150989,39,56976,107771374,79004,1155302,212879,221141
Zaprionus ornatus,jd01o,107203438,125984,3515,10991,848,140294123,486215,2877,39358,925
Zaprionus taronus,st01t,94931451,524953,1588,48108,2839,NA,NA,NA,NA,NA
Zaprionus tsacasi (jd01t),jd01t,88989719,499007,6314,44190,4423,107553477,1655942,12153,194617,3444
Zaprionus tsacasi (car7-4),car7-4,86548948,424346,4844,39212,2375,105984250,919167,8276,100620,1840
Zaprionus vittiger,jd01v,90754255,51829,758,3786,273,118688794,182809,3000,18173,616
