coverage,genome_size,contig_name,contig_rank,contig_size,contig_prop,contig_cumsum,contig_cumsum_prop
20x,180779525,contig_351,1,23609,0.000130596,178643199,0.988183
20x,180779525,contig_263,1,20998,0.000116153,178664197,0.988299
20x,180779525,contig_18,1,20659,0.000114277,178684856,0.988413
20x,180779525,contig_737,1,20039,0.000110848,178704895,0.988524
20x,180779525,contig_103,1,19398,0.000107302,178724293,0.988631
20x,180779525,contig_621,1,18554,0.000102633,178742847,0.988734
20x,180779525,contig_84,1,17908,9.90599e-05,178760755,0.988833
20x,180779525,contig_662,1,16421,9.08344e-05,178777176,0.988924
20x,180779525,contig_269,1,15263,8.44288e-05,178792439,0.989008
20x,180779525,contig_65,1,15088,8.34608e-05,178807527,0.989092
20x,180779525,contig_232,1,15057,8.32893e-05,178822584,0.989175
20x,180779525,contig_434,1,14702,8.13256e-05,178837286,0.989256
20x,180779525,contig_470,1,14494,8.0175e-05,178851780,0.989336
20x,180779525,contig_235,1,14135,7.81892e-05,178865915,0.989415
20x,180779525,contig_183,1,13713,7.58548e-05,178879628,0.989491
20x,180779525,contig_508,1,12955,7.16619e-05,178892583,0.989562
20x,180779525,contig_327,1,12851,7.10866e-05,178905434,0.989633
20x,180779525,contig_537,1,12508,6.91893e-05,178917942,0.989702
20x,180779525,contig_451,1,12185,6.74025e-05,178930127,0.98977
20x,180779525,contig_92,1,11461,6.33977e-05,178941588,0.989833
20x,180779525,contig_49,1,10715,5.92711e-05,178952303,0.989893
20x,180779525,contig_788,1,10168,5.62453e-05,178962471,0.989949
20x,180779525,contig_187,1,10030,5.54819e-05,178972501,0.990004
20x,180779525,contig_366,1,9853,5.45029e-05,178982354,0.990059
20x,180779525,scaffold_300,1,9189,5.08299e-05,178991543,0.99011
20x,180779525,contig_556,1,8913,4.93031e-05,179000456,0.990159
20x,180779525,contig_82,1,8712,4.81913e-05,179009168,0.990207
20x,180779525,contig_498,1,8347,4.61723e-05,179017515,0.990253
20x,180779525,contig_137,1,8343,4.61501e-05,179025858,0.990299
20x,180779525,contig_190,1,8174,4.52153e-05,179034032,0.990345
20x,180779525,contig_324,1,8128,4.49608e-05,179042160,0.99039
20x,180779525,contig_529,1,8006,4.4286e-05,179050166,0.990434
20x,180779525,contig_404,1,7864,4.35005e-05,179058030,0.990477
20x,180779525,contig_152,1,7745,4.28422e-05,179065775,0.99052
20x,180779525,contig_435,1,7565,4.18466e-05,179073340,0.990562
20x,180779525,contig_76,1,7562,4.183e-05,179080902,0.990604
20x,180779525,contig_352,1,7166,3.96394e-05,179088068,0.990644
20x,180779525,contig_151,1,7146,3.95288e-05,179095214,0.990683
20x,180779525,contig_165,1,7014,3.87986e-05,179102228,0.990722
20x,180779525,contig_318,1,7005,3.87489e-05,179109233,0.990761
20x,180779525,contig_198,1,6970,3.85553e-05,179116203,0.990799
20x,180779525,contig_367,1,6902,3.81791e-05,179123105,0.990837
20x,180779525,contig_600,1,6852,3.79025e-05,179129957,0.990875
20x,180779525,contig_101,1,6765,3.74213e-05,179136722,0.990913
20x,180779525,contig_274,1,6720,3.71724e-05,179143442,0.99095
20x,180779525,contig_384,1,6675,3.69234e-05,179150117,0.990987
20x,180779525,contig_798,1,6477,3.58282e-05,179156594,0.991023
20x,180779525,contig_244,1,6470,3.57895e-05,179163064,0.991058
20x,180779525,contig_317,1,6320,3.49597e-05,179169384,0.991093
20x,180779525,contig_186,1,6158,3.40636e-05,179175542,0.991127
20x,180779525,contig_608,1,6149,3.40138e-05,179181691,0.991161
20x,180779525,contig_584,1,6136,3.39419e-05,179187827,0.991195
20x,180779525,contig_653,1,6100,3.37428e-05,179193927,0.991229
20x,180779525,contig_155,1,5921,3.27526e-05,179199848,0.991262
20x,180779525,contig_487,1,5908,3.26807e-05,179205756,0.991295
20x,180779525,contig_331,1,5879,3.25203e-05,179211635,0.991327
20x,180779525,contig_221,1,5851,3.23654e-05,179217486,0.991359
20x,180779525,contig_638,1,5818,3.21828e-05,179223304,0.991392
20x,180779525,contig_511,1,5662,3.13199e-05,179228966,0.991423
20x,180779525,contig_496,1,5644,3.12203e-05,179234610,0.991454
20x,180779525,contig_405,1,5630,3.11429e-05,179240240,0.991485
20x,180779525,contig_763,1,5520,3.05344e-05,179245760,0.991516
20x,180779525,contig_704,1,5470,3.02579e-05,179251230,0.991546
20x,180779525,contig_262,1,5394,2.98374e-05,179256624,0.991576
20x,180779525,contig_553,1,5314,2.93949e-05,179261938,0.991605
20x,180779525,contig_654,1,5158,2.8532e-05,179267096,0.991634
20x,180779525,contig_714,1,5088,2.81448e-05,179272184,0.991662
20x,180779525,contig_762,1,5067,2.80286e-05,179277251,0.99169
20x,180779525,contig_291,1,5062,2.8001e-05,179282313,0.991718
20x,180779525,contig_454,1,5037,2.78627e-05,179287350,0.991746
20x,180779525,contig_249,1,5019,2.77631e-05,179292369,0.991774
20x,180779525,contig_533,1,4979,2.75418e-05,179297348,0.991801
20x,180779525,contig_742,1,4971,2.74976e-05,179302319,0.991829
20x,180779525,contig_132,1,4927,2.72542e-05,179307246,0.991856
20x,180779525,contig_409,1,4917,2.71989e-05,179312163,0.991883
20x,180779525,contig_377,1,4788,2.64853e-05,179316951,0.99191
20x,180779525,contig_303,1,4706,2.60317e-05,179321657,0.991936
20x,180779525,contig_134,1,4667,2.5816e-05,179326324,0.991961
20x,180779525,contig_663,1,4652,2.5733e-05,179330976,0.991987
20x,180779525,contig_170,1,4579,2.53292e-05,179335555,0.992013
20x,180779525,contig_363,1,4572,2.52905e-05,179340127,0.992038
20x,180779525,contig_340,1,4529,2.50526e-05,179344656,0.992063
20x,180779525,contig_411,1,4478,2.47705e-05,179349134,0.992088
20x,180779525,contig_394,1,4471,2.47318e-05,179353605,0.992112
20x,180779525,contig_619,1,4466,2.47041e-05,179358071,0.992137
20x,180779525,contig_497,1,4456,2.46488e-05,179362527,0.992162
20x,180779525,contig_260,1,4455,2.46433e-05,179366982,0.992186
20x,180779525,contig_748,1,4384,2.42505e-05,179371366,0.992211
20x,180779525,contig_590,1,4384,2.42505e-05,179375750,0.992235
20x,180779525,contig_156,1,4384,2.42505e-05,179380134,0.992259
20x,180779525,contig_306,1,4346,2.40403e-05,179384480,0.992283
20x,180779525,contig_604,1,4325,2.39242e-05,179388805,0.992307
20x,180779525,contig_733,1,4235,2.34263e-05,179393040,0.992331
20x,180779525,contig_667,1,4143,2.29174e-05,179397183,0.992353
20x,180779525,contig_461,1,4142,2.29119e-05,179401325,0.992376
20x,180779525,contig_87,1,4059,2.24528e-05,179405384,0.992399
20x,180779525,contig_729,1,4051,2.24085e-05,179409435,0.992421
20x,180779525,contig_419,1,4022,2.22481e-05,179413457,0.992443
20x,180779525,contig_450,1,3812,2.10865e-05,179417269,0.992465
20x,180779525,contig_321,1,3722,2.05886e-05,179420991,0.992485
20x,180779525,contig_720,1,3706,2.05001e-05,179424697,0.992506
20x,180779525,contig_627,1,3605,1.99414e-05,179428302,0.992526
20x,180779525,contig_640,1,3598,1.99027e-05,179431900,0.992545
20x,180779525,contig_598,1,3589,1.98529e-05,179435489,0.992565
20x,180779525,contig_334,1,3521,1.94768e-05,179439010,0.992585
20x,180779525,contig_289,1,3489,1.92998e-05,179442499,0.992604
20x,180779525,contig_606,1,3488,1.92942e-05,179445987,0.992623
20x,180779525,contig_189,1,3366,1.86194e-05,179449353,0.992642
20x,180779525,contig_479,1,3345,1.85032e-05,179452698,0.992661
20x,180779525,contig_466,1,3276,1.81215e-05,179455974,0.992679
20x,180779525,contig_806,1,3266,1.80662e-05,179459240,0.992697
20x,180779525,contig_61,1,3241,1.79279e-05,179462481,0.992715
20x,180779525,contig_323,1,3221,1.78173e-05,179465702,0.992732
20x,180779525,contig_99,1,3213,1.7773e-05,179468915,0.99275
20x,180779525,contig_700,1,3123,1.72752e-05,179472038,0.992768
20x,180779525,contig_738,1,3068,1.69709e-05,179475106,0.992784
20x,180779525,contig_144,1,2974,1.6451e-05,179478080,0.992801
20x,180779525,contig_722,1,2947,1.63016e-05,179481027,0.992817
20x,180779525,contig_672,1,2932,1.62187e-05,179483959,0.992833
20x,180779525,contig_721,1,2881,1.59365e-05,179486840,0.992849
20x,180779525,contig_690,1,2807,1.55272e-05,179489647,0.992865
20x,180779525,contig_658,1,2772,1.53336e-05,179492419,0.99288
20x,180779525,contig_126,1,2770,1.53225e-05,179495189,0.992896
20x,180779525,contig_541,1,2678,1.48136e-05,179497867,0.99291
20x,180779525,contig_764,1,2668,1.47583e-05,179500535,0.992925
20x,180779525,contig_476,1,2650,1.46587e-05,179503185,0.99294
20x,180779525,contig_196,1,2642,1.46145e-05,179505827,0.992954
20x,180779525,contig_433,1,2616,1.44707e-05,179508443,0.992969
20x,180779525,contig_680,1,2580,1.42715e-05,179511023,0.992983
20x,180779525,contig_160,1,2551,1.41111e-05,179513574,0.992997
20x,180779525,contig_311,1,2399,1.32703e-05,179515973,0.993011
20x,180779525,contig_320,1,2372,1.3121e-05,179518345,0.993024
20x,180779525,contig_337,1,2346,1.29771e-05,179520691,0.993037
20x,180779525,contig_491,1,2290,1.26674e-05,179522981,0.993049
20x,180779525,contig_373,1,2206,1.22027e-05,179525187,0.993062
20x,180779525,contig_770,1,2202,1.21806e-05,179527389,0.993074
20x,180779525,contig_354,1,2195,1.21419e-05,179529584,0.993086
20x,180779525,contig_782,1,2190,1.21142e-05,179531774,0.993098
20x,180779525,contig_397,1,2157,1.19317e-05,179533931,0.99311
20x,180779525,contig_693,1,2049,1.13342e-05,179535980,0.993121
20x,180779525,contig_645,1,2006,1.10964e-05,179537986,0.993132
20x,180779525,contig_519,1,2001,1.10687e-05,179539987,0.993143
20x,180779525,contig_191,1,1992,1.10189e-05,179541979,0.993154
20x,180779525,contig_768,1,1971,1.09028e-05,179543950,0.993165
20x,180779525,contig_465,1,1863,1.03054e-05,179545813,0.993176
20x,180779525,contig_38,1,1810,1.00122e-05,179547623,0.993186
20x,180779525,contig_651,1,1802,9.96794e-06,179549425,0.993196
20x,180779525,contig_462,1,1801,9.96241e-06,179551226,0.993206
20x,180779525,contig_561,1,1744,9.64711e-06,179552970,0.993215
20x,180779525,contig_209,1,1738,9.61392e-06,179554708,0.993225
20x,180779525,contig_429,1,1731,9.5752e-06,179556439,0.993234
20x,180779525,contig_677,1,1654,9.14927e-06,179558093,0.993244
20x,180779525,contig_284,1,1651,9.13267e-06,179559744,0.993253
20x,180779525,contig_326,1,1642,9.08289e-06,179561386,0.993262
20x,180779525,contig_716,1,1553,8.59057e-06,179562939,0.99327
20x,180779525,contig_525,1,1553,8.59057e-06,179564492,0.993279
20x,180779525,contig_477,1,1507,8.33612e-06,179565999,0.993287
20x,180779525,contig_243,1,1507,8.33612e-06,179567506,0.993296
20x,180779525,contig_807,1,1454,8.04295e-06,179568960,0.993304
20x,180779525,contig_292,1,1439,7.95997e-06,179570399,0.993312
20x,180779525,contig_109,1,1381,7.63914e-06,179571780,0.993319
20x,180779525,contig_185,1,1367,7.5617e-06,179573147,0.993327
20x,180779525,contig_140,1,1361,7.52851e-06,179574508,0.993334
20x,180779525,contig_713,1,1346,7.44553e-06,179575854,0.993342
20x,180779525,contig_213,1,1235,6.83153e-06,179577089,0.993349
20x,180779525,contig_573,1,1218,6.73749e-06,179578307,0.993355
20x,180779525,contig_734,1,1213,6.70983e-06,179579520,0.993362
20x,180779525,contig_345,1,1202,6.64898e-06,179580722,0.993369
20x,180779525,contig_238,1,1181,6.53282e-06,179581903,0.993375
20x,180779525,contig_572,1,1173,6.48857e-06,179583076,0.993382
20x,180779525,contig_286,1,1161,6.42219e-06,179584237,0.993388
20x,180779525,contig_208,1,1112,6.15114e-06,179585349,0.993394
20x,180779525,contig_611,1,998,5.52054e-06,179586347,0.9934
20x,180779525,contig_108,1,997,5.51501e-06,179587344,0.993405
20x,180779525,contig_131,1,940,5.1997e-06,179588284,0.993411
20x,180779525,contig_273,1,917,5.07248e-06,179589201,0.993416
20x,180779525,contig_575,1,847,4.68527e-06,179590048,0.99342
20x,180779525,contig_632,1,846,4.67973e-06,179590894,0.993425
20x,180779525,contig_792,1,836,4.62442e-06,179591730,0.99343
20x,180779525,contig_412,1,718,3.97169e-06,179592448,0.993434
20x,180779525,contig_448,1,695,3.84446e-06,179593143,0.993437
20x,180779525,contig_687,1,681,3.76702e-06,179593824,0.993441
20x,180779525,contig_339,1,648,3.58448e-06,179594472,0.993445
20x,180779525,contig_686,1,606,3.35215e-06,179595078,0.993448
20x,180779525,contig_773,1,591,3.26918e-06,179595669,0.993451
20x,180779525,contig_71,1,590,3.26364e-06,179596259,0.993455
20x,180779525,contig_231,1,590,3.26364e-06,179596849,0.993458
20x,180779525,contig_597,1,585,3.23599e-06,179597434,0.993461
20x,180779525,contig_789,1,531,2.93728e-06,179597965,0.993464
20x,180779525,contig_801,1,530,2.93175e-06,179598495,0.993467
20x,180779525,contig_567,1,511,2.82665e-06,179599006,0.99347
20x,180779525,contig_564,1,469,2.59432e-06,179599475,0.993472
20x,180779525,contig_63,1,461,2.55007e-06,179599936,0.993475
10x,180779525,scaffold_43,1,21448225,0.118643,21448225,0.118643
10x,180779525,scaffold_33,1,17445592,0.096502,38893817,0.215145
10x,180779525,scaffold_63,1,14356979,0.0794171,53250796,0.294562
10x,180779525,scaffold_70,1,7600592,0.0420434,60851388,0.336606
10x,180779525,scaffold_39,1,7048452,0.0389892,67899840,0.375595
10x,180779525,contig_37,1,6028614,0.0333479,73928454,0.408943
10x,180779525,contig_45,1,4693965,0.0259651,78622419,0.434908
10x,180779525,contig_1,1,4607099,0.0254846,83229518,0.460392
10x,180779525,contig_18,1,4172669,0.0230815,87402187,0.483474
10x,180779525,scaffold_382,1,3351947,0.0185416,90754134,0.502016
10x,180779525,contig_6,1,3139411,0.017366,93893545,0.519382
10x,180779525,scaffold_580,1,3137600,0.0173559,97031145,0.536737
10x,180779525,scaffold_670,1,2966348,0.0164087,99997493,0.553146
10x,180779525,scaffold_122,1,2734815,0.0151279,102732308,0.568274
10x,180779525,contig_108,1,2628701,0.0145409,105361009,0.582815
10x,180779525,contig_53,1,2611580,0.0144462,107972589,0.597261
10x,180779525,contig_38,1,2597471,0.0143682,110570060,0.611629
10x,180779525,contig_80,1,2557438,0.0141467,113127498,0.625776
10x,180779525,scaffold_176,1,2309917,0.0127775,115437415,0.638554
10x,180779525,contig_21,1,2238664,0.0123834,117676079,0.650937
10x,180779525,contig_365,1,2073088,0.0114675,119749167,0.662404
10x,180779525,contig_10,1,1896040,0.0104881,121645207,0.672893
10x,180779525,contig_133,1,1825471,0.0100978,123470678,0.68299
10x,180779525,contig_91,1,1774110,0.00981367,125244788,0.692804
10x,180779525,contig_3,1,1684301,0.00931688,126929089,0.702121
10x,180779525,contig_125,1,1656334,0.00916218,128585423,0.711283
10x,180779525,contig_78,1,1589140,0.00879049,130174563,0.720074
10x,180779525,contig_24,1,1554499,0.00859887,131729062,0.728672
10x,180779525,contig_129,1,1488972,0.0082364,133218034,0.736909
10x,180779525,scaffold_47,1,1477596,0.00817347,134695630,0.745082
10x,180779525,scaffold_67,1,1462504,0.00808999,136158134,0.753172
10x,180779525,contig_205,1,1460437,0.00807855,137618571,0.761251
10x,180779525,contig_66,1,1429290,0.00790626,139047861,0.769157
10x,180779525,scaffold_32,1,1342449,0.00742589,140390310,0.776583
10x,180779525,contig_22,1,1328964,0.0073513,141719274,0.783934
10x,180779525,contig_19,1,1283068,0.00709742,143002342,0.791032
10x,180779525,contig_159,1,1153271,0.00637943,144155613,0.797411
10x,180779525,contig_28,1,1107191,0.00612454,145262804,0.803536
10x,180779525,contig_72,1,1065437,0.00589357,146328241,0.809429
10x,180779525,contig_130,1,1052367,0.00582127,147380608,0.815251
10x,180779525,contig_149,1,972631,0.00538021,148353239,0.820631
10x,180779525,contig_737,1,875614,0.00484355,149228853,0.825474
10x,180779525,contig_25,1,859168,0.00475257,150088021,0.830227
10x,180779525,contig_58,1,847440,0.0046877,150935461,0.834915
10x,180779525,contig_34,1,801356,0.00443278,151736817,0.839347
10x,180779525,contig_194,1,764759,0.00423034,152501576,0.843578
10x,180779525,contig_5,1,763382,0.00422272,153264958,0.8478
10x,180779525,contig_44,1,709172,0.00392286,153974130,0.851723
10x,180779525,contig_435,1,677246,0.00374625,154651376,0.85547
10x,180779525,contig_4,1,664126,0.00367368,155315502,0.859143
10x,180779525,contig_180,1,628130,0.00347456,155943632,0.862618
10x,180779525,contig_27,1,612395,0.00338752,156556027,0.866005
10x,180779525,contig_197,1,584503,0.00323324,157140530,0.869239
10x,180779525,contig_52,1,533681,0.00295211,157674211,0.872191
10x,180779525,contig_212,1,519993,0.00287639,158194204,0.875067
10x,180779525,contig_61,1,517391,0.002862,158711595,0.877929
10x,180779525,contig_142,1,474255,0.00262339,159185850,0.880552
10x,180779525,contig_30,1,470468,0.00260244,159656318,0.883155
10x,180779525,contig_127,1,460454,0.00254705,160116772,0.885702
10x,180779525,scaffold_79,1,437699,0.00242118,160554471,0.888123
10x,180779525,contig_169,1,414405,0.00229232,160968876,0.890415
10x,180779525,contig_116,1,413658,0.00228819,161382534,0.892704
10x,180779525,contig_8,1,401176,0.00221915,161783710,0.894923
10x,180779525,contig_528,1,397854,0.00220077,162181564,0.897124
10x,180779525,contig_126,1,380899,0.00210698,162562463,0.899231
10x,180779525,contig_55,1,362059,0.00200277,162924522,0.901233
10x,180779525,contig_68,1,357334,0.00197663,163281856,0.90321
10x,180779525,contig_29,1,336612,0.001862,163618468,0.905072
10x,180779525,contig_73,1,336314,0.00186035,163954782,0.906932
10x,180779525,contig_337,1,334141,0.00184833,164288923,0.908781
10x,180779525,contig_105,1,327501,0.0018116,164616424,0.910592
10x,180779525,contig_60,1,324275,0.00179376,164940699,0.912386
10x,180779525,contig_207,1,323922,0.00179181,165264621,0.914178
10x,180779525,contig_138,1,301145,0.00166581,165565766,0.915844
10x,180779525,contig_186,1,290559,0.00160726,165856325,0.917451
10x,180779525,scaffold_17,1,276795,0.00153112,166133120,0.918982
10x,180779525,contig_315,1,244696,0.00135356,166377816,0.920336
10x,180779525,contig_69,1,241158,0.00133399,166618974,0.921669
10x,180779525,scaffold_83,1,239594,0.00132534,166858568,0.922995
10x,180779525,contig_111,1,234059,0.00129472,167092627,0.92429
10x,180779525,contig_241,1,225458,0.00124714,167318085,0.925537
10x,180779525,contig_445,1,216411,0.0011971,167534496,0.926734
10x,180779525,contig_156,1,212356,0.00117467,167746852,0.927908
10x,180779525,contig_26,1,206674,0.00114324,167953526,0.929052
10x,180779525,contig_7,1,199729,0.00110482,168153255,0.930157
10x,180779525,contig_154,1,196853,0.00108891,168350108,0.931245
10x,180779525,contig_282,1,182411,0.00100902,168532519,0.932254
10x,180779525,contig_118,1,181184,0.00100224,168713703,0.933257
10x,180779525,contig_95,1,177207,0.000980238,168890910,0.934237
10x,180779525,contig_74,1,174458,0.000965032,169065368,0.935202
10x,180779525,contig_64,1,172561,0.000954538,169237929,0.936157
10x,180779525,contig_93,1,172277,0.000952967,169410206,0.937109
10x,180779525,contig_774,1,171479,0.000948553,169581685,0.938058
10x,180779525,contig_342,1,170930,0.000945516,169752615,0.939004
10x,180779525,contig_143,1,163646,0.000905224,169916261,0.939909
10x,180779525,contig_82,1,161861,0.00089535,170078122,0.940804
10x,180779525,contig_98,1,160666,0.00088874,170238788,0.941693
10x,180779525,scaffold_250,1,160198,0.000886151,170398986,0.942579
10x,180779525,contig_145,1,156493,0.000865657,170555479,0.943445
10x,180779525,contig_62,1,151185,0.000836295,170706664,0.944281
10x,180779525,contig_600,1,149236,0.000825514,170855900,0.945106
10x,180779525,contig_71,1,138257,0.000764782,170994157,0.945871
10x,180779525,contig_208,1,137933,0.00076299,171132090,0.946634
10x,180779525,contig_408,1,134210,0.000742396,171266300,0.947377
10x,180779525,contig_41,1,132691,0.000733994,171398991,0.948111
10x,180779525,contig_144,1,132216,0.000731366,171531207,0.948842
10x,180779525,contig_590,1,130722,0.000723102,171661929,0.949565
10x,180779525,contig_193,1,124039,0.000686134,171785968,0.950251
10x,180779525,contig_56,1,124028,0.000686073,171909996,0.950937
10x,180779525,contig_160,1,123636,0.000683905,172033632,0.951621
10x,180779525,contig_13,1,121446,0.000671791,172155078,0.952293
10x,180779525,contig_292,1,118020,0.000652839,172273098,0.952946
10x,180779525,contig_217,1,106737,0.000590426,172379835,0.953536
10x,180779525,contig_312,1,100145,0.000553962,172479980,0.95409
10x,180779525,contig_766,1,96581,0.000534247,172576561,0.954624
10x,180779525,contig_137,1,94204,0.000521099,172670765,0.955146
10x,180779525,contig_485,1,93152,0.00051528,172763917,0.955661
10x,180779525,contig_134,1,92452,0.000511407,172856369,0.956172
10x,180779525,contig_798,1,90645,0.000501412,172947014,0.956674
10x,180779525,contig_308,1,90123,0.000498524,173037137,0.957172
10x,180779525,contig_683,1,87306,0.000482942,173124443,0.957655
10x,180779525,contig_210,1,87047,0.000481509,173211490,0.958137
10x,180779525,contig_35,1,86324,0.00047751,173297814,0.958614
10x,180779525,contig_327,1,86124,0.000476404,173383938,0.959091
10x,180779525,contig_23,1,81975,0.000453453,173465913,0.959544
10x,180779525,contig_184,1,79516,0.000439851,173545429,0.959984
10x,180779525,contig_249,1,78324,0.000433257,173623753,0.960417
10x,180779525,contig_191,1,75281,0.000416424,173699034,0.960834
10x,180779525,contig_15,1,73584,0.000407037,173772618,0.961241
10x,180779525,contig_224,1,73488,0.000406506,173846106,0.961647
10x,180779525,contig_76,1,73114,0.000404437,173919220,0.962052
10x,180779525,contig_157,1,71492,0.000395465,173990712,0.962447
10x,180779525,contig_258,1,68973,0.000381531,174059685,0.962829
10x,180779525,contig_151,1,65815,0.000364062,174125500,0.963193
10x,180779525,contig_433,1,63136,0.000349243,174188636,0.963542
10x,180779525,contig_682,1,62251,0.000344348,174250887,0.963886
10x,180779525,contig_88,1,59828,0.000330945,174310715,0.964217
10x,180779525,contig_378,1,59573,0.000329534,174370288,0.964547
10x,180779525,contig_139,1,57197,0.000316391,174427485,0.964863
10x,180779525,contig_367,1,54839,0.000303347,174482324,0.965166
10x,180779525,contig_649,1,52891,0.000292572,174535215,0.965459
10x,180779525,contig_760,1,49379,0.000273145,174584594,0.965732
10x,180779525,contig_343,1,48912,0.000270562,174633506,0.966003
10x,180779525,contig_346,1,48119,0.000266175,174681625,0.966269
10x,180779525,contig_185,1,46624,0.000257905,174728249,0.966527
10x,180779525,contig_211,1,46559,0.000257546,174774808,0.966784
10x,180779525,contig_195,1,46219,0.000255665,174821027,0.96704
10x,180779525,contig_309,1,44052,0.000243678,174865079,0.967284
10x,180779525,contig_119,1,43900,0.000242837,174908979,0.967526
10x,180779525,contig_460,1,40137,0.000222022,174949116,0.967749
10x,180779525,contig_221,1,39419,0.00021805,174988535,0.967967
10x,180779525,contig_222,1,38606,0.000213553,175027141,0.96818
10x,180779525,contig_366,1,36294,0.000200764,175063435,0.968381
10x,180779525,contig_676,1,34420,0.000190398,175097855,0.968571
10x,180779525,contig_233,1,33899,0.000187516,175131754,0.968759
10x,180779525,contig_331,1,33468,0.000185132,175165222,0.968944
10x,180779525,contig_565,1,33079,0.00018298,175198301,0.969127
10x,180779525,contig_107,1,32502,0.000179788,175230803,0.969307
10x,180779525,contig_190,1,32237,0.000178322,175263040,0.969485
10x,180779525,contig_602,1,31315,0.000173222,175294355,0.969658
10x,180779525,contig_219,1,30728,0.000169975,175325083,0.969828
10x,180779525,contig_835,1,30408,0.000168205,175355491,0.969996
10x,180779525,contig_112,1,29642,0.000163968,175385133,0.97016
10x,180779525,contig_100,1,29023,0.000160544,175414156,0.970321
10x,180779525,contig_674,1,27796,0.000153756,175441952,0.970475
10x,180779525,contig_410,1,27154,0.000150205,175469106,0.970625
10x,180779525,contig_363,1,25575,0.000141471,175494681,0.970766
10x,180779525,contig_281,1,23893,0.000132167,175518574,0.970899
10x,180779525,contig_551,1,22837,0.000126325,175541411,0.971025
10x,180779525,contig_339,1,21751,0.000120318,175563162,0.971145
10x,180779525,contig_577,1,21123,0.000116844,175584285,0.971262
10x,180779525,contig_303,1,20096,0.000111163,175604381,0.971373
10x,180779525,contig_189,1,18257,0.00010099,175622638,0.971474
10x,180779525,contig_801,1,17322,9.58184e-05,175639960,0.97157
10x,180779525,contig_90,1,17291,9.56469e-05,175657251,0.971666
10x,180779525,contig_178,1,16877,9.33568e-05,175674128,0.971759
10x,180779525,contig_326,1,15911,8.80133e-05,175690039,0.971847
10x,180779525,contig_474,1,15805,8.74269e-05,175705844,0.971934
10x,180779525,contig_347,1,15046,8.32285e-05,175720890,0.972018
10x,180779525,contig_584,1,13707,7.58216e-05,175734597,0.972093
10x,180779525,contig_244,1,13647,7.54897e-05,175748244,0.972169
10x,180779525,contig_279,1,12948,7.16232e-05,175761192,0.972241
10x,180779525,contig_615,1,12843,7.10423e-05,175774035,0.972312
10x,180779525,contig_251,1,12724,7.03841e-05,175786759,0.972382
10x,180779525,contig_175,1,12068,6.67553e-05,175798827,0.972449
10x,180779525,contig_810,1,11973,6.62298e-05,175810800,0.972515
10x,180779525,contig_261,1,11438,6.32704e-05,175822238,0.972578
10x,180779525,contig_187,1,10670,5.90222e-05,175832908,0.972637
10x,180779525,contig_328,1,10440,5.77499e-05,175843348,0.972695
10x,180779525,contig_51,1,10080,5.57585e-05,175853428,0.972751
10x,180779525,contig_654,1,9793,5.4171e-05,175863221,0.972805
10x,180779525,contig_417,1,9793,5.4171e-05,175873014,0.972859
10x,180779525,contig_117,1,9648,5.33689e-05,175882662,0.972913
10x,180779525,contig_552,1,9595,5.30757e-05,175892257,0.972966
10x,180779525,contig_177,1,9275,5.13056e-05,175901532,0.973017
10x,180779525,contig_448,1,8869,4.90598e-05,175910401,0.973066
10x,180779525,contig_446,1,8546,4.72731e-05,175918947,0.973113
10x,180779525,contig_320,1,8366,4.62774e-05,175927313,0.97316
10x,180779525,contig_253,1,8219,4.54642e-05,175935532,0.973205
10x,180779525,contig_393,1,8182,4.52596e-05,175943714,0.97325
10x,180779525,contig_288,1,8135,4.49996e-05,175951849,0.973295
10x,180779525,contig_226,1,8116,4.48945e-05,175959965,0.97334
10x,180779525,contig_216,1,7920,4.38103e-05,175967885,0.973384
10x,180779525,contig_645,1,7807,4.31852e-05,175975692,0.973427
10x,180779525,contig_259,1,7789,4.30856e-05,175983481,0.97347
10x,180779525,contig_304,1,7479,4.13708e-05,175990960,0.973512
10x,180779525,contig_334,1,7348,4.06462e-05,175998308,0.973552
10x,180779525,contig_425,1,7301,4.03862e-05,176005609,0.973593
10x,180779525,contig_182,1,7112,3.93407e-05,176012721,0.973632
10x,180779525,contig_296,1,7097,3.92578e-05,176019818,0.973671
10x,180779525,contig_146,1,7077,3.91471e-05,176026895,0.97371
10x,180779525,contig_273,1,7010,3.87765e-05,176033905,0.973749
10x,180779525,contig_20,1,6921,3.82842e-05,176040826,0.973787
10x,180779525,contig_729,1,6883,3.8074e-05,176047709,0.973825
10x,180779525,contig_96,1,6551,3.62375e-05,176054260,0.973862
10x,180779525,contig_170,1,6547,3.62154e-05,176060807,0.973898
10x,180779525,contig_712,1,6371,3.52418e-05,176067178,0.973933
10x,180779525,contig_426,1,6153,3.40359e-05,176073331,0.973967
10x,180779525,contig_277,1,6096,3.37206e-05,176079427,0.974001
10x,180779525,contig_666,1,5885,3.25535e-05,176085312,0.974033
10x,180779525,contig_839,1,5798,3.20722e-05,176091110,0.974066
10x,180779525,contig_381,1,5491,3.0374e-05,176096601,0.974096
10x,180779525,contig_499,1,5409,2.99204e-05,176102010,0.974126
10x,180779525,contig_248,1,5285,2.92345e-05,176107295,0.974155
10x,180779525,contig_752,1,5088,2.81448e-05,176112383,0.974183
10x,180779525,contig_732,1,4985,2.7575e-05,176117368,0.974211
