Species,assm_type,BUSCO_version,complete,single,duplicated,fragmented,missing,n
Z. indianus BS02,hybrid (Nanopore + Illumina),v4.0.6,98.4,97.7,0.7,0.6,1,3285
Z. indianus CDD18,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.5,0.6,0.2,0.7,3285
Z. indianus RCR04,hybrid (Nanopore + Illumina),v4.0.6,98.8,98.1,0.7,0.3,0.9,3285
Z. inermis,hybrid (Nanopore + Illumina),v4.0.6,99,98.3,0.7,0.4,0.6,3285
Z. kolodkinae,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.4,0.8,0.3,0.5,3285
Z. lachaisei,Nanopore,v4.0.6,98.7,98.1,0.6,0.5,0.8,3285
Z. nigranus,hybrid (Nanopore + Illumina),v4.0.6,97.1,95.2,1.9,0.8,2.1,3285
Z. ornatus,hybrid (Nanopore + Illumina),v4.0.6,99,97.8,1.2,0.3,0.7,3285
Z. taronus,Nanopore,v4.0.6,98.1,96.9,1.2,0.6,1.3,3285
Z. tsacasi,hybrid (Nanopore + Illumina),v4.0.6,99,98.4,0.6,0.4,0.6,3285
Z. tsacasi car7-4,hybrid (Nanopore + Illumina),v4.0.6,98.9,98.1,0.8,0.4,0.7,3285
Z. vittiger,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.4,0.7,0.3,0.6,3285
